"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun May 17 23:47:23 WEST 2026","Sun May 17 23:47:24 WEST 2026","1092","","US2 – Nickname e Jogo vs Robot","","tests.UserStoryTest2","testClearNicknameField","TC2.3 – Limpar o campo de nickname resulta em valor vazio",""
"passed","Sun May 17 23:46:18 WEST 2026","Sun May 17 23:46:20 WEST 2026","2093","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","testPlayVsRobotOptionVisible","04 - Opção Play vs robot está visível","Valida se existe a opção Play vs robot."
"passed","Sun May 17 23:47:04 WEST 2026","Sun May 17 23:47:07 WEST 2026","2640","","iscteiul.ista.blackbattleship.usertests.UserStoryTest3","","iscteiul.ista.blackbattleship.usertests.UserStoryTest3","testPlayVsRobotStartsFlow","US3 - Clicar em Play vs robot inicia ou apresenta fluxo de jogo",""
"broken","Sun May 17 23:47:15 WEST 2026","Sun May 17 23:47:16 WEST 2026","1174","","US1 – Homepage e Verificação de Elementos","","tests.UserStoryTest1","testPageTitleContainsBattleOrShip","TC1.3 – Título da página contém 'Battle' ou 'Ship'",""
"passed","Sun May 17 23:46:23 WEST 2026","Sun May 17 23:46:26 WEST 2026","2455","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","testPlayWithFriendOptionVisible","06 - Opção Play with a friend está visível","Valida se existe a opção Play with a friend."
"broken","Sun May 17 23:45:33 WEST 2026","Sun May 17 23:45:50 WEST 2026","17222","","iscteiul.ista.blackbattleship.InspectJetBrainsTest","","iscteiul.ista.blackbattleship.InspectJetBrainsTest","inspectPage","inspectPage()",""
"broken","Sun May 17 23:47:12 WEST 2026","Sun May 17 23:47:13 WEST 2026","1306","","US1 – Homepage e Verificação de Elementos","","tests.UserStoryTest1","testHomepageOpens","TC1.1 – Homepage abre com sucesso",""
"passed","Sun May 17 23:47:02 WEST 2026","Sun May 17 23:47:04 WEST 2026","2599","","iscteiul.ista.blackbattleship.usertests.UserStoryTest3","","iscteiul.ista.blackbattleship.usertests.UserStoryTest3","testPlayVsRobotOptionVisible","US3 - Existe opção para jogar contra o robot",""
"passed","Sun May 17 23:46:16 WEST 2026","Sun May 17 23:46:18 WEST 2026","2399","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","testHomepageMainText","03 - Página apresenta texto principal do jogo","Valida se o conteúdo principal da homepage está presente."
"passed","Sun May 17 23:45:50 WEST 2026","Sun May 17 23:45:57 WEST 2026","6637","","Parte 1A – Demo: Testes JetBrains (projecto-piloto)","","iscteiul.ista.blackbattleship.MainPageTest","search","search – Pesquisar 'Selenium' e verificar campo de pesquisa",""
"passed","Sun May 17 23:45:02 WEST 2026","Sun May 17 23:45:19 WEST 2026","17642","","iscteiul.ista.blackbattleship.fredson.tests.UserStoryTest3","","iscteiul.ista.blackbattleship.fredson.tests.UserStoryTest3","jogadorConsegueIniciarJogoContraRobot","UserStoryTest3 - Iniciar partida contra robot",""
"broken","Sun May 17 23:47:18 WEST 2026","Sun May 17 23:47:19 WEST 2026","1172","","US1 – Homepage e Verificação de Elementos","","tests.UserStoryTest1","testPageHasLinks","TC1.6 – Página contém links de navegação",""
"passed","Sun May 17 23:47:09 WEST 2026","Sun May 17 23:47:12 WEST 2026","3057","","iscteiul.ista.blackbattleship.usertests.UserStoryTest6","","iscteiul.ista.blackbattleship.usertests.UserStoryTest6","testRulesContentVisible","US6 - As regras apresentam conteúdo explicativo",""
"broken","Sun May 17 23:49:00 WEST 2026","Sun May 17 23:49:02 WEST 2026","1323","","US4 – Lobby e Sala Multiplayer","","tests.UserStoryTest4","testMultiplayerButtonIsVisible","TC4.1 – Botão Multiplayer está visível na homepage",""
"broken","Sun May 17 23:47:24 WEST 2026","Sun May 17 23:47:25 WEST 2026","1132","","US2 – Nickname e Jogo vs Robot","","tests.UserStoryTest2","testPlayVsRobotButtonIsVisible","TC2.4 – Botão 'Jogar vs Robot' está visível",""
