"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 18 01:07:40 WEST 2026","Mon May 18 01:07:44 WEST 2026","3984","","US1 – Homepage e Verificação de Elementos","","tests.UserStoryTest1","testPageIsLoaded","TC1.7 – Página está carregada (readyState complete)",""
"passed","Mon May 18 01:07:20 WEST 2026","Mon May 18 01:07:24 WEST 2026","3921","","US1 – Homepage e Verificação de Elementos","","tests.UserStoryTest1","testPageTitleNotEmpty","TC1.2 – Título da página não está vazio",""
"passed","Sun May 17 23:47:09 WEST 2026","Sun May 17 23:47:12 WEST 2026","3057","","iscteiul.ista.blackbattleship.usertests.UserStoryTest6","","iscteiul.ista.blackbattleship.usertests.UserStoryTest6","testRulesContentVisible","US6 - As regras apresentam conteúdo explicativo",""
"passed","Mon May 18 01:04:09 WEST 2026","Mon May 18 01:04:15 WEST 2026","5851","","US3 – Navegação e Conteúdo das Instruções","","tests.UserStoryTest3","testInstructionsLinkIsVisible","TC3.1 – Link de instruções está visível na homepage",""
"passed","Mon May 18 01:17:33 WEST 2026","Mon May 18 01:17:35 WEST 2026","2886","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","testPlayVsRobotFlow","05 - Play vs robot inicia fluxo de jogo","Valida se clicar em Play vs robot mantém contexto funcional de jogo."
"passed","Mon May 18 01:07:32 WEST 2026","Mon May 18 01:07:36 WEST 2026","3934","","US1 – Homepage e Verificação de Elementos","","tests.UserStoryTest1","testButtonsHaveText","TC1.5 – Botões têm texto não vazio",""
"passed","Mon May 18 01:17:49 WEST 2026","Mon May 18 01:17:51 WEST 2026","2290","","US1 – Homepage (Selenide + Allure)","","testsuite.UserStorySelenideTest1","testHomepageUrl","TC1.1 – Homepage abre com URL correcto","Verifica que o URL após abertura contém 'papergames.io'"
"passed","Mon May 18 01:07:36 WEST 2026","Mon May 18 01:07:40 WEST 2026","3845","","US1 – Homepage e Verificação de Elementos","","tests.UserStoryTest1","testPageHasLinks","TC1.6 – Página contém links de navegação",""
"passed","Mon May 18 01:17:46 WEST 2026","Mon May 18 01:17:49 WEST 2026","2727","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","testStrategiesContentVisible","10 - Página apresenta estratégias ou táticas","Valida se existe conteúdo de estratégias/táticas."
"passed","Mon May 18 01:17:24 WEST 2026","Mon May 18 01:17:27 WEST 2026","2791","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","testHomepageTitleVisible","02 - Página apresenta título principal","Valida se o título principal Battleship Online está visível."
"broken","Sun May 17 23:45:33 WEST 2026","Sun May 17 23:45:50 WEST 2026","17222","","iscteiul.ista.blackbattleship.InspectJetBrainsTest","","iscteiul.ista.blackbattleship.InspectJetBrainsTest","inspectPage","inspectPage()",""
"passed","Mon May 18 01:07:44 WEST 2026","Mon May 18 01:07:48 WEST 2026","4019","","US2 – Nickname e Jogo vs Robot","","tests.UserStoryTest2","testNicknameInputIsVisible","TC2.1 – Campo de nickname visível ou fluxo de jogo acessível",""
"passed","Mon May 18 01:07:48 WEST 2026","Mon May 18 01:08:22 WEST 2026","34180","","US2 – Nickname e Jogo vs Robot","","tests.UserStoryTest2","testEnterNickname","TC2.2 – Pode-se digitar um nickname no campo",""
"passed","Sun May 17 23:45:57 WEST 2026","Sun May 17 23:46:02 WEST 2026","5416","","Parte 1A – Demo: Testes JetBrains (projecto-piloto)","","iscteiul.ista.blackbattleship.MainPageTest","toolsMenu","toolsMenu – Menu Developer Tools abre submenu",""
"passed","Mon May 18 01:17:54 WEST 2026","Mon May 18 01:17:56 WEST 2026","2532","","US1 – Homepage (Selenide + Allure)","","testsuite.UserStorySelenideTest1","testPageHasVisibleButton","TC1.3 – Pelo menos um botão visível","Deve existir pelo menos um botão visível na homepage"
"passed","Mon May 18 00:56:41 WEST 2026","Mon May 18 00:56:43 WEST 2026","2170","","iscteiul.ista.blackbattleship.usertests.UserStoryTest1","","iscteiul.ista.blackbattleship.usertests.UserStoryTest1","testHomepageTitleVisible","US1 - A página principal apresenta o título do jogo",""
"passed","Mon May 18 01:17:27 WEST 2026","Mon May 18 01:17:30 WEST 2026","2708","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","testHomepageMainText","03 - Página apresenta texto principal do jogo","Valida se o conteúdo principal da homepage está presente."
"passed","Mon May 18 01:17:41 WEST 2026","Mon May 18 01:17:43 WEST 2026","2693","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","testRulesSectionVisible","08 - Secção de regras está visível","Valida se a secção de regras está disponível."
"passed","Mon May 18 01:17:51 WEST 2026","Mon May 18 01:17:54 WEST 2026","2424","","US1 – Homepage (Selenide + Allure)","","testsuite.UserStorySelenideTest1","testPageTitleNotEmpty","TC1.2 – Título não está vazio","O título da aba do browser não deve estar em branco"
"passed","Mon May 18 01:17:35 WEST 2026","Mon May 18 01:17:38 WEST 2026","2701","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","testPlayWithFriendOptionVisible","06 - Opção Play with a friend está visível","Valida se existe a opção Play with a friend."
"passed","Mon May 18 00:56:43 WEST 2026","Mon May 18 00:57:01 WEST 2026","17963","","iscteiul.ista.blackbattleship.usertests.UserStoryTest2","","iscteiul.ista.blackbattleship.usertests.UserStoryTest2","testNicknameOrGuestFlowAvailable","US2 - O fluxo de jogo permite identificação do jogador",""
"passed","Mon May 18 01:07:16 WEST 2026","Mon May 18 01:07:20 WEST 2026","4525","","US1 – Homepage e Verificação de Elementos","","tests.UserStoryTest1","testHomepageOpens","TC1.1 – Homepage abre com sucesso",""
"passed","Mon May 18 01:04:15 WEST 2026","Mon May 18 01:04:20 WEST 2026","5499","","US3 – Navegação e Conteúdo das Instruções","","tests.UserStoryTest3","testInstructionsPageLoads","TC3.2 – Página de instruções carrega conteúdo",""
"passed","Mon May 18 01:05:31 WEST 2026","Mon May 18 01:06:10 WEST 2026","38900","","US4 – Lobby e Sala Multiplayer","","tests.UserStoryTest4","testCreateRoomDisplaysRoomCode","TC4.4 – Criar sala gera e exibe um código de sala",""
"passed","Mon May 18 00:55:47 WEST 2026","Mon May 18 00:55:53 WEST 2026","6579","","iscteiul.ista.blackbattleship.fredson.tests.UserStoryTest1","","iscteiul.ista.blackbattleship.fredson.tests.UserStoryTest1","jogadorConsegueAcederPaginaPrincipal","UserStoryTest1 - Aceder à página principal da Batalha Naval",""
"passed","Mon May 18 01:17:30 WEST 2026","Mon May 18 01:17:33 WEST 2026","2588","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","testPlayVsRobotOptionVisible","04 - Opção Play vs robot está visível","Valida se existe a opção Play vs robot."
"passed","Mon May 18 01:05:10 WEST 2026","Mon May 18 01:05:31 WEST 2026","21214","","US4 – Lobby e Sala Multiplayer","","tests.UserStoryTest4","testCreateRoomButtonAvailable","TC4.3 – Botão 'Criar Sala' está disponível no lobby",""
"passed","Mon May 18 01:07:28 WEST 2026","Mon May 18 01:07:32 WEST 2026","3915","","US1 – Homepage e Verificação de Elementos","","tests.UserStoryTest1","testPageHasButtons","TC1.4 – Página contém pelo menos um botão",""
"passed","Mon May 18 01:06:32 WEST 2026","Mon May 18 01:06:54 WEST 2026","21361","","US4 – Lobby e Sala Multiplayer","","tests.UserStoryTest4","testInvalidRoomCodeHandled","TC4.6 – Código de sala inválido não provoca crash",""
"passed","Sun May 17 23:46:02 WEST 2026","Sun May 17 23:46:11 WEST 2026","9001","","Parte 1A – Demo: Testes JetBrains (projecto-piloto)","","iscteiul.ista.blackbattleship.MainPageTest","navigationToAllTools","navigationToAllTools – Navegar para página de todos os produtos",""
"passed","Mon May 18 01:09:12 WEST 2026","Mon May 18 01:09:16 WEST 2026","4448","","US2 – Nickname e Jogo vs Robot","","tests.UserStoryTest2","testPlayVsRobotButtonIsVisible","TC2.4 – Botão 'Jogar vs Robot' está visível",""
"passed","Mon May 18 01:04:20 WEST 2026","Mon May 18 01:04:26 WEST 2026","5567","","US3 – Navegação e Conteúdo das Instruções","","tests.UserStoryTest3","testInstructionsContentNotEmpty","TC3.3 – Conteúdo das instruções não está vazio",""
"passed","Mon May 18 01:06:10 WEST 2026","Mon May 18 01:06:32 WEST 2026","22413","","US4 – Lobby e Sala Multiplayer","","tests.UserStoryTest4","testRoomCodeInputIsAccessible","TC4.5 – Campo para código de sala está disponível",""
"passed","Mon May 18 01:04:31 WEST 2026","Mon May 18 01:04:38 WEST 2026","7207","","US3 – Navegação e Conteúdo das Instruções","","tests.UserStoryTest3","testBackFromInstructions","TC3.5 – Botão 'Voltar' regressa ao menu principal",""
"broken","Sun May 17 23:47:07 WEST 2026","Sun May 17 23:47:09 WEST 2026","2119","","iscteiul.ista.blackbattleship.usertests.UserStoryTest6","","iscteiul.ista.blackbattleship.usertests.UserStoryTest6","testRulesSectionVisible","US6 - A secção de regras está disponível",""
"passed","Mon May 18 01:17:43 WEST 2026","Mon May 18 01:17:46 WEST 2026","2678","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","testRulesContentVisible","09 - Regras apresentam conteúdo explicativo","Valida se as regras apresentam conteúdo explicativo."
"passed","Mon May 18 01:17:20 WEST 2026","Mon May 18 01:17:24 WEST 2026","3989","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","testHomepageUrl","01 - Página principal abre com URL correto","Valida se a página principal do Battleship abre corretamente."
"passed","Mon May 18 00:57:03 WEST 2026","Mon May 18 00:57:05 WEST 2026","2278","","iscteiul.ista.blackbattleship.usertests.UserStoryTest3","","iscteiul.ista.blackbattleship.usertests.UserStoryTest3","testPlayVsRobotStartsFlow","US3 - Clicar em Play vs robot inicia ou apresenta fluxo de jogo",""
"passed","Mon May 18 01:09:37 WEST 2026","Mon May 18 01:10:12 WEST 2026","34644","","US2 – Nickname e Jogo vs Robot","","tests.UserStoryTest2","testNicknameWithSpecialChars","TC2.6 – Nickname com caracteres especiais é aceite",""
"passed","Mon May 18 00:55:53 WEST 2026","Mon May 18 00:56:01 WEST 2026","7521","","iscteiul.ista.blackbattleship.fredson.tests.UserStoryTest2","","iscteiul.ista.blackbattleship.fredson.tests.UserStoryTest2","jogadorConsegueConsultarRegras","UserStoryTest2 - Consultar regras do jogo",""
"passed","Mon May 18 01:17:56 WEST 2026","Mon May 18 01:17:59 WEST 2026","2594","","US1 – Homepage (Selenide + Allure)","","testsuite.UserStorySelenideTest1","testNicknameInputVisible","TC1.4 – Campo de nickname visível ou fluxo de jogo acessível","O campo de nickname deve estar visível ou a página deve oferecer botões de jogo"
"passed","Mon May 18 00:56:18 WEST 2026","Mon May 18 00:56:36 WEST 2026","17491","","iscteiul.ista.blackbattleship.fredson.tests.UserStoryTest4","","iscteiul.ista.blackbattleship.fredson.tests.UserStoryTest4","jogadorConsegueIniciarJogoComAmigo","UserStoryTest4 - Iniciar partida com amigo",""
"passed","Mon May 18 01:04:45 WEST 2026","Mon May 18 01:04:48 WEST 2026","3935","","US4 – Lobby e Sala Multiplayer","","tests.UserStoryTest4","testMultiplayerButtonIsVisible","TC4.1 – Botão Multiplayer está visível na homepage",""
"passed","Mon May 18 01:08:22 WEST 2026","Mon May 18 01:09:12 WEST 2026","49451","","US2 – Nickname e Jogo vs Robot","","tests.UserStoryTest2","testClearNicknameField","TC2.3 – Limpar o campo de nickname resulta em valor vazio",""
